vertical	returned_qty
BoyBoxer	1
BoyCapri	1
RingThreeD	1
BabyBed	1
InfantNightSuit	1
CampingHiking_Equipment	1
WomenBoxer	1
BoysUniform	1
TrackField	1
HealthCareAccessory	1
GirlEthnicSet	1
GirlWaistcoat	1
PenAndPencil	1
Stapler	1
PlateTableware	1
GirlVest	1
Lock	1
ProteinSupplement	1
RacquetSport_Misc	2
Nappy	2
BabyGirlCasualShoe	2
FragranceGiftSet	2
BathAndSpaAccessory	2
GirlBlazer	2
Deodorant	2
Scissor	2
KidHandkerchief	3
BabyBedsheet	3
OtherSchoolSupplyToy	3
BabyBoyShoeMisc	3
BoyJumpsuit	3
Shuttle	3
GirlKaftan	3
BoyTrunk	3
GirlBooty	3
WaterSport_Equipment	3
FitnessAccessory_Grip	3
GirlSock	3
Eraser	4
ArtSupply	4
BoyEthnicWear	4
Football_Misc	4
GirlShoeMisc	4
Paper	4
GirlTrackTop	4
BoyTrackPant	5
GirlStocking	5
BraCharmBrooch	5
GirlSportShoe	5
BoyBloomer	5
WomenMuffler	5
Baseball	5
MensDungaree	6
BoyShort	6
TableTennis	6
BabyPhotoAlbum	6
InfantPoloTShirt	6
GirlBlouse	6
UnisexUniform	6
SchoolAccessories	6
WomenShirtTopTunic	6
PreciousMangalsutraTanmaniya	7
BabyBeddingSet	8
InfantMitten	8
WomenLegWarmer	8
GirlSlipperAndFlipFlop	8
BabyBoyCasualShoe	8
WomenCholi	8
BoyShoeMisc	9
PartySupply	9
GirlCargo	9
MensShawl	10
BoySock	10
PreciousBangleBraceletArmlet	10
PocketWatch	10
KidsFabric	11
PreciousNecklaceChain	11
BibHankies	12
ExerciseBike	12
GirlCapri	12
GirlNightSuit	13
GirlBloomer	13
IndoorSport	13
InfantBloomer	13
Cricket_Ball	15
LuggageCover	15
DiaryNotebook	15
MensLungi	16
WomenEthincBottom	16
MensSwimsuit	17
Calculator	17
OfficeMultiUtilityKnive	18
BoySlipperAndFlipFlop	18
WomenApparelAccessory	19
WomenSuit	19
InfantKurta	20
BabyGirlSandal	20
InfantSock	21
KidFootwearMisc	21
WomenTrackTop	21
Cycling_Equipment	22
WomenLingerieAccessory	22
PreciousPendantLocket	22
